,2_way_label,bert_score
1980,1,1.326276
285,1,1.199449
1358,1,-0.13538188
1201,1,1.397082
842,1,1.5740341
1196,1,1.3742558
630,0,-0.66050196
1718,0,-0.49201763
1194,0,-0.4426585
1034,0,-0.33792865
996,0,1.1621903
1038,1,-0.6340154
563,0,1.2964152
445,1,0.5435208
1317,1,0.5530807
44,0,-1.0582079
1148,0,-1.1411815
1939,1,1.2167562
402,1,0.51571834
951,0,-1.0163983
700,1,0.8084271
1217,0,-0.5413074
540,1,0.93167853
1017,0,-0.6354998
368,1,1.6154937
1123,1,-0.38156798
347,1,1.4866234
1767,0,-0.40312526
271,1,-0.14743598
1227,0,0.7792251
1882,0,-0.72045225
1264,0,-0.34210667
1399,1,1.369258
740,1,1.5008093
1902,0,0.5458913
1445,1,1.4882663
1538,1,1.067939
709,1,0.8216926
1616,1,1.2318662
1943,1,0.85021424
376,1,1.4188021
1376,1,0.68571556
1313,1,1.2749833
640,0,-0.92216617
486,1,-0.10063934
782,1,0.57879174
1991,1,0.55131793
1577,1,-0.47735286
131,0,1.3280796
210,0,0.5783366
1316,0,-0.37361246
556,0,-0.46808794
1836,1,0.5137656
1218,0,0.76231825
1717,1,1.2443562
1810,0,-0.5049917
475,0,-0.2269057
816,0,1.2682709
1212,0,0.46551484
1009,1,0.16722508
504,0,0.40797648
1682,1,0.22485682
78,0,-0.31614262
1695,1,-0.318794
601,0,-0.33595967
1846,1,-0.68387115
1301,0,1.2834872
666,1,0.5668467
1620,1,1.5906154
263,1,0.15942363
1335,0,-0.24055149
1154,1,0.5075965
339,1,0.91824704
1704,1,1.4719868
1175,1,1.0289457
1937,0,-0.54662246
91,1,1.1200757
533,1,1.0767876
1462,0,1.3095498
386,1,1.5182009
784,0,0.53026074
1654,0,-1.0618931
1085,0,0.9022459
1023,1,1.1796894
931,0,0.9000897
1832,1,-0.5923089
1195,1,0.8915881
650,1,-0.28433222
203,1,0.03385635
745,0,0.7150351
1414,0,0.0035977075
374,0,0.7242118
1696,0,1.2488708
615,0,1.2954156
1168,0,0.65328
683,1,1.135815
22,0,-0.34824604
518,0,0.095607
426,0,0.8491468
1830,0,1.1475153
1340,1,-0.84666854
452,0,-0.97397107
884,1,1.2231246
24,1,1.3788081
320,1,0.69220734
1742,0,0.3191863
226,0,0.68628955
1626,0,0.6931397
1032,1,1.1807693
1877,1,1.2826811
1556,1,0.471881
1863,0,0.003781193
1993,1,0.4052995
1573,0,0.76743793
1213,1,0.14943182
789,1,1.3848795
643,0,0.24612445
1344,0,0.7198917
1596,1,1.080887
1880,1,1.3450555
1862,1,-0.1309253
1361,1,0.9069114
767,1,-0.21995124
163,0,0.7384085
481,0,-0.30382228
194,1,-0.49863234
360,1,0.7710656
967,0,0.37989277
956,0,1.3970662
786,0,0.94373715
954,0,1.5120902
580,0,-0.58204836
1429,0,1.2979821
43,1,0.4751902
1940,0,0.4132367
1997,0,-0.4151076
1671,0,-0.29507372
1553,0,-0.5490283
1817,0,-1.0475014
335,0,0.46297973
291,1,-0.012631762
177,0,-0.4557076
349,0,-0.067845106
1870,0,0.7931055
1921,0,0.25381285
1472,0,0.34606376
444,1,0.6148615
236,0,-1.0616909
771,1,0.59729517
1897,0,-0.958167
724,0,-0.07803787
638,0,-0.33948347
1286,0,-0.4441951
394,0,1.4004828
1455,1,-1.1051576
1628,1,1.2822216
1010,1,1.3743173
606,1,-0.29458207
541,0,1.263274
641,1,1.6576147
1823,0,-0.6557989
267,1,1.3098589
70,1,0.008225876
877,1,0.7719509
1757,1,1.2597047
1069,1,1.4003588
600,1,1.3608953
468,1,1.4018396
127,0,1.4136972
1820,1,-0.84989125
1246,0,-0.4386072
1220,1,0.9576193
1228,0,-0.04211615
1942,0,0.64198446
1915,0,0.64606476
276,1,1.1691811
710,0,0.6426482
244,0,-0.574123
1070,0,-0.14374048
1605,1,1.57608
511,0,-0.25432906
982,1,0.68136793
1016,1,-0.4703796
1701,1,1.1439506
1478,1,-0.58337593
1543,1,1.4535571
1579,0,-0.3604846
331,1,0.93474805
1621,0,-0.63637125
473,1,0.96272904
1722,0,0.32107067
928,0,0.81831753
1865,0,1.2825924
864,1,1.207663
790,1,1.1195608
454,0,-0.7323638
732,0,0.89197075
1655,1,1.144909
414,1,-0.021826062
413,1,0.2101737
559,0,0.5153898
75,1,0.62551963
998,1,0.3369118
623,0,0.6132525
1670,1,1.1765772
968,1,1.5300139
209,1,0.64860666
1328,0,0.13264601
569,1,0.73539263
1561,1,0.7224551
310,1,1.1483445
907,0,0.56074405
302,1,-0.96952546
583,1,-0.40338677
1514,1,0.71700275
1971,1,1.2905484
857,1,0.85567856
1871,0,1.4184015
603,0,0.7169125
1914,1,-0.83751917
1805,0,-0.8244984
1632,0,-0.9783377
1811,1,0.90305287
370,1,1.1596792
222,0,-0.87223494
1894,0,-0.19186606
1291,1,-0.6914634
1055,0,0.15843864
1235,1,1.0513061
843,1,0.64118683
1260,1,0.88976747
429,1,1.3340558
132,0,-0.75429595
936,0,-0.24851397
581,1,-0.5398876
441,0,1.041259
1825,0,-0.6362942
611,0,1.3358105
283,1,1.2086431
1975,0,-0.50883496
868,0,0.8146385
855,1,-0.7612542
921,1,1.2535113
1368,0,0.9808347
699,0,-0.046725053
139,1,-0.64124644
1203,1,1.1595559
687,0,0.433538
406,0,1.676638
1864,1,-0.72246706
1144,1,0.73481286
97,1,1.0649779
270,0,-0.6098113
32,1,0.89957964
1831,0,1.0681185
894,1,1.3536011
1157,0,1.0095662
457,1,-0.44896114
173,1,0.37159663
1075,1,0.66765404
1917,0,0.40270096
1657,0,1.2394598
1442,1,0.5649281
803,1,0.16956006
796,1,0.43583786
